x,y,z
319.1200472,395.8650521,0
324.7450118,395.696793,0
329.5212268,395.6979789,0
334.2275679,395.6990496,0
338.8556963,395.7000108,0
343.3972728,395.7008686,0
347.8439585,395.7016289,0
352.1874144,395.7022974,0
356.4193014,395.7028801,0
360.5312805,395.7033828,0
364.5150127,395.7038115,0
368.362159,395.7041721,0
372.0643804,395.7044704,0
375.6133379,395.7047123,0
379.0006923,395.7049037,0
382.2181048,395.7050504,0
385.2572363,395.7051585,0
388.1097478,395.7052337,0
390.7673002,395.7052819,0
393.2215546,395.705309,0
395.4641719,395.705321,0
397.4868136,395.7053237,0
399.2948624,395.7052619,0
400.9140415,395.7050783,0
402.366857,395.704773,0
403.6758151,395.7043461,0
404.8634219,395.7037977,0
405.9521838,395.703128,0
406.9646068,395.702337,0
407.9231972,395.701425,0
408.8504612,395.700392,0
409.7689048,395.6992382,0
410.7010344,395.6979637,0
411.669356,395.6965685,0
412.696376,395.6950529,0
413.8046004,395.693417,0
415.0165355,395.6916608,0
416.3546874,395.6897846,0
417.8415624,395.6877883,0
419.4996665,395.6856723,0
421.3515061,395.6834365,0
423.4196898,395.6810734,0
426.2906327,395.6353698,0
430.4129336,395.5106015,0
435.6480039,395.3145648,0
441.8572547,395.0550561,0
448.9020974,394.7398717,0
456.6439432,394.3768081,0
464.9442035,393.9736616,0
473.6642894,393.5382285,0
482.6656124,393.0783054,0
491.8095836,392.6016884,0
500.9576144,392.1161741,0
509.9711161,391.6295587,0
518.7114998,391.1496387,0
527.040177,390.6842104,0
534.8185588,390.2410702,0
541.9080567,389.8280145,0
548.1700817,389.4528397,0
553.4660454,389.123342,0
557.6573588,388.847318,0
560.6056626,388.6325534,0
562.7956491,388.4579279,0
564.7734112,388.2981432,0
566.5602324,388.1516226,0
568.1773959,388.0167895,0
569.6461854,387.8920673,0
570.9878842,387.7758794,0
572.2237759,387.6666492,0
573.3751438,387.5628001,0
574.4632714,387.4627555,0
575.5094422,387.3649387,0
576.5349397,387.2677732,0
577.5610472,387.1696823,0
578.6090483,387.0690895,0
579.7002263,386.9644181,0
580.8558648,386.8540915,0
582.0972472,386.7365331,0
583.4456569,386.6101662,0
584.9223774,386.4734144,0
586.5486922,386.324701,0
588.3459239,386.1624443,0
590.3843541,385.9785149,0
592.6946428,385.7684768,0
595.2472575,385.5352018,0
598.0126654,385.2815617,0
600.9613339,385.0104283,0
604.0637302,384.7246736,0
607.2903218,384.4271693,0
610.611576,384.1207873,0
613.9979602,383.8083995,0
617.4199416,383.4928776,0
620.8479876,383.1770936,0
624.2525655,382.8639193,0
627.6041427,382.5562264,0
630.8731865,382.256887,0
634.0301643,381.9687727,0
637.0455434,381.6947555,0
639.8897911,381.4377071,0
642.5333748,381.2004995,0
644.9467618,380.9860045,0
647.1005291,380.7970758,0
649.0766123,380.6190178,0
650.9681167,380.4381926,0
652.7815303,380.2558918,0
654.523341,380.0734067,0
656.2000369,379.8920288,0
657.8181057,379.7130495,0
659.3840356,379.5377603,0
660.9043144,379.3674524,0
662.3854302,379.2034175,0
663.8338708,379.0469467,0
665.2561242,378.8993317,0
666.6586785,378.7618638,0
668.0480214,378.6358344,0
669.4306411,378.522535,0
670.8130254,378.4232569,0
672.2016623,378.3392916,0
673.6030398,378.2719306,0
675.0236458,378.2224651,0
676.4699683,378.1921867,0
677.9484535,378.182456,0
679.4366332,378.2389964,0
680.9126619,378.3927231,0
682.377897,378.6327857,0
683.8336961,378.9483332,0
685.2814167,379.3285149,0
686.7224165,379.7624802,0
688.158053,380.2393782,0
689.5896837,380.7483582,0
691.0186663,381.2785695,0
692.4463582,381.8191614,0
693.874117,382.3592831,0
695.3033004,382.8880838,0
696.7352658,383.3947128,0
698.1713708,383.8683195,0
699.612973,384.2980529,0
701.0614299,384.6730625,0
702.5180992,384.9824974,0
703.9843383,385.2155069,0
705.4615048,385.3612403,0
706.9509564,385.4088959,0
708.4535999,385.3752541,0
709.9685451,385.2845195,0
711.4944609,385.1430712,0
713.0300163,384.9572883,0
714.5738802,384.7335498,0
716.1247216,384.4782348,0
717.6812093,384.1977224,0
719.2420123,383.8983917,0
720.8057997,383.5866218,0
722.3712402,383.2687918,0
723.9370029,382.9512807,0
725.5017567,382.6404677,0
727.0641705,382.3427318,0
728.6229133,382.0644521,0
730.176654,381.8120077,0
731.7240616,381.5917777,0
733.263805,381.4101411,0
734.7945531,381.2734771,0
736.3149749,381.1881648,0
737.8237024,381.1606132,0
739.3063019,381.2061673,0
740.755409,381.3285138,0
742.1763083,381.5197616,0
743.5742844,381.7720197,0
744.9546218,382.0773971,0
746.3226052,382.4280028,0
747.6835191,382.8159457,0
749.0426481,383.2333349,0
750.4052768,383.6722793,0
751.7766898,384.1248879,0
753.1621718,384.5832697,0
754.5670072,385.0395338,0
755.9964807,385.485789,0
757.4558768,385.9141444,0
758.9504802,386.3167089,0
760.4855754,386.6855916,0
762.0664471,387.0129014,0
763.6983797,387.2907473,0
765.386658,387.5112384,0
767.1365425,387.6665865,0
768.944776,387.7825217,0
770.8056211,387.8845547,0
772.7183407,387.9743187,0
774.6821978,388.053447,0
776.6964552,388.1235727,0
778.760376,388.1863291,0
780.8732229,388.2433495,0
783.0342589,388.2962671,0
785.242747,388.346715,0
787.4979499,388.3963267,0
789.7991307,388.4467352,0
792.1455523,388.4995739,0
794.5364776,388.556476,0
796.9711694,388.6190747,0
799.4488907,388.6890032,0
801.9689044,388.7678948,0
804.5304735,388.8573828,0
807.1328608,388.9591003,0
809.7753292,389.0746806,0
812.4573191,389.205995,0
815.2215601,389.4125859,0
818.0957433,389.732373,0
821.071721,390.1548749,0
824.1413459,390.6696098,0
827.2964704,391.2660963,0
830.5289471,391.9338529,0
833.8306284,392.6623979,0
837.1933669,393.4412498,0
840.6090151,394.259927,0
844.0694254,395.1079481,0
847.5664505,395.9748314,0
851.0919428,396.8500955,0
854.6377548,397.7232587,0
858.195739,398.5838394,0
861.757748,399.4213563,0
865.3156342,400.2253276,0
868.8612502,400.9852718,0
872.3864485,401.6907074,0
875.8830815,402.3311529,0
879.3431689,402.896259,0
882.795217,403.4062779,0
886.2638335,403.8842632,0
889.7479611,404.3342069,0
893.2465426,404.760101,0
896.7585207,405.1659378,0
900.282838,405.5557092,0
903.8184373,405.9334074,0
907.3642613,406.3030244,0
910.9192527,406.6685523,0
914.4823542,407.0339832,0
918.0525085,407.4033092,0
921.6286583,407.7805224,0
925.2097463,408.1696148,0
928.7947152,408.5745786,0
932.3825078,408.9994058,0
935.9720667,409.4480884,0
939.5623346,409.9246187,0
943.1522543,410.4329886,0
946.7407685,410.9771903,0
950.3271131,411.561383,0
953.9605471,412.2170642,0
957.668781,412.9594822,0
961.4390804,413.7799983,0
965.2587107,414.6699739,0
969.1149375,415.6207706,0
972.9950263,416.6237497,0
976.8862426,417.6702726,0
980.775852,418.7517008,0
984.65112,419.8593957,0
988.499312,420.9847187,0
992.3076937,422.1190312,0
996.0635305,423.2536946,0
999.7540879,424.3800704,0
1003.366632,425.48952,0
1006.888427,426.5734047,0
1010.306739,427.6230861,0
1013.608835,428.6299256,0
1016.781978,429.5852845,0
1019.813435,430.4805243,0
1022.691479,431.307448,0
1025.5566,432.1256314,0
1028.498974,432.9759662,0
1031.495527,433.850376,0
1034.52318,434.7407846,0
1037.558859,435.6391157,0
1040.579488,436.5372931,0
1043.56199,437.4272404,0
1046.48329,438.3008815,0
1049.320311,439.15014,0
1052.049977,439.9669397,0
1054.649213,440.7432043,0
1057.094943,441.4708576,0
1059.364089,442.1418232,0
1061.433577,442.748025,0
1063.28033,443.2813866,0
1064.881273,443.7338318,0
1066.213328,444.0972844,0
1067.253421,444.363668,0
1067.978475,444.5249063,0
1068.366885,444.5731963,0
1068.59787,444.5395094,0
1068.808417,444.451917,0
1069.000131,444.3143698,0
1069.174612,444.1308186,0
1069.333464,443.9052141,0
1069.478288,443.6415072,0
1069.610686,443.3436487,0
1069.732262,443.0155892,0
1069.844617,442.6612797,0
1069.949353,442.2846708,0
1070.048073,441.8897134,0
1070.142379,441.4803583,0
1070.233873,441.0605561,0
1070.324157,440.6342578,0
1070.414834,440.205414,0
1070.507506,439.7779757,0
1070.603775,439.3558934,0
1070.705244,438.9431181,0
1070.813514,438.5436006,0
1070.930114,438.1611833,0
1071.04764,437.7860373,0
1071.160821,437.4089971,0
1071.270307,437.0289801,0
1071.376746,436.6449036,0
1071.480789,436.2556851,0
1071.583084,435.8602418,0
1071.684282,435.4574912,0
1071.785032,435.0463506,0
1071.885983,434.6257373,0
1071.987784,434.1945688,0
1072.091086,433.7517623,0
1072.196537,433.2962352,0
1072.304787,432.8269049,0
1072.416486,432.3426888,0
1072.532282,431.8425042,0
1072.652826,431.3252685,0
1072.778767,430.789899,0
1072.910755,430.2353131,0
1073.049437,429.6604282,0
1073.195513,429.0640619,0
1073.354165,428.4352251,0
1073.52758,427.7680447,0
1073.714354,427.0639719,0
1073.91308,426.324458,0
1074.122353,425.5509542,0
1074.340766,424.7449116,0
1074.566914,423.9077814,0
1074.79939,423.0410149,0
1075.036789,422.1460633,0
1075.277705,421.2243776,0
1075.520732,420.2774092,0
1075.764464,419.3066092,0
1076.007495,418.3134289,0
1076.248419,417.2993193,0
1076.48583,416.2657318,0
1076.718323,415.2141175,0
1076.944492,414.1459276,0
1077.16293,413.0626133,0
1077.372232,411.9656258,0
1077.571154,410.85641,0
1077.773343,409.7348784,0
1077.986563,408.598102,0
1078.208477,407.4429349,0
1078.436749,406.2662316,0
1078.669045,405.0648462,0
1078.903026,403.8356329,0
1079.136358,402.575446,0
1079.366704,401.2811397,0
1079.591729,399.9495684,0
1079.809095,398.5775861,0
1080.016467,397.1620473,0
1080.211509,395.6998061,0
1080.391885,394.1877168,0
1080.555259,392.6226335,0
1080.699294,391.0014107,0
1080.821655,389.3209024,0
1080.920006,387.577963,0
1080.99201,385.7694467,0
1081.035331,383.8922078,0
1081.046586,381.9402912,0
1080.939303,379.6858896,0
1080.671172,377.0232164,0
1080.2586,374.0047368,0
1079.717996,370.6829163,0
1079.065769,367.1102201,0
1078.318327,363.3391136,0
1077.492079,359.4220621,0
1076.603432,355.411531,0
1075.668795,351.3599856,0
1074.704577,347.3198913,0
1073.727186,343.3437135,0
1072.753031,339.4839173,0
1071.798519,335.7929683,0
1070.88006,332.3233316,0
1070.014061,329.1274728,0
1069.216932,326.2578571,0
1068.50508,323.7669498,0
1067.894913,321.7072164,0
1067.402842,320.131122,0
1067.044347,319.0872343,0
1066.761131,318.3182091,0
1066.508208,317.6371044,0
1066.282089,317.0343944,0
1066.079284,316.500553,0
1065.896307,316.0260544,0
1065.729667,315.6013725,0
1065.575876,315.2169815,0
1065.431446,314.8633554,0
1065.292887,314.5309684,0
1065.156711,314.2102943,0
1065.01943,313.8918074,0
1064.877554,313.5659816,0
1064.727595,313.2232911,0
1064.566064,312.8542099,0
1064.389473,312.4492121,0
1064.194332,311.9987717,0
1063.977154,311.4933627,0
1063.734449,310.9234594,0
1063.462729,310.2795356,0
1063.157557,309.5511026,0
1062.753381,308.6668858,0
1062.22132,307.5968452,0
1061.574645,306.3545125,0
1060.826628,304.9534188,0
1059.99054,303.4070957,0
1059.079651,301.7290744,0
1058.107233,299.9328864,0
1057.086556,298.0320631,0
1056.030893,296.0401359,0
1054.953513,293.9706361,0
1053.867689,291.8370952,0
1052.786691,289.6530445,0
1051.72379,287.4320154,0
1050.692258,285.1875393,0
1049.705365,282.9331477,0
1048.776382,280.6823719,0
1047.918582,278.4487432,0
1047.145234,276.2457931,0
1046.469611,274.087053,0
1045.903881,271.9831431,0
1045.388898,269.7669507,0
