timestamp(ms),GPS.Lat,GPS.Lng,x,y,Accel X,Accel Y,Accel Z,Accel Magnitude
8530.761,301398787,-976294641,0,0,1.252397537,-0.160692796,-9.909058571,9.989182325
8630.761,301398847,-976294609,60,32,1.254371881,-0.175022066,-9.913302422,9.99388045
8730.761,301398816,-976294549,29,92,1.226151586,-0.178483948,-9.902634621,9.979853539
8830.761,301398816,-976294549,29,92,1.261182666,-0.223319128,-9.940897942,10.02306864
8930.761,301398794,-976294571,7,70,1.251947284,-0.234372213,-9.929673195,10.01102952
9030.761,301398794,-976294571,7,70,1.210959792,-0.141330078,-9.869011879,9.944033049
9130.761,301398746,-976294589,-41,52,1.269409418,-0.220962852,-9.921724319,10.00504065
9230.761,301398746,-976294589,-41,52,1.234954,-0.240580425,-9.865530968,9.945435717
9330.761,301398746,-976294589,-41,52,1.245326161,-0.213559017,-9.922967911,10.00308637
9430.761,301398730,-976294565,-57,76,1.251077533,-0.226483703,-9.91721344,9.998380483
9530.761,301398714,-976294473,-73,168,1.233759761,-0.212431803,-9.911449432,9.990201213
9630.761,301398714,-976294473,-73,168,1.259482503,-0.172688544,-9.924765587,10.00585276
9730.761,301398687,-976294404,-100,237,1.226129174,-0.087083466,-9.907027245,9.982993795
9830.761,301398687,-976294404,-100,237,1.245770097,-0.072767735,-9.792169571,9.871363795
9930.761,301398656,-976294375,-131,266,1.257178783,-0.345970809,-9.834005356,9.920073368
10030.761,301398656,-976294375,-131,266,1.252302647,-0.264158577,-9.885398865,9.967906119
10130.761,301398656,-976294375,-131,266,1.366391063,-0.0746997,-9.40159893,9.500666662
10230.761,301398619,-976294350,-168,291,1.265349984,-0.009828251,-10.15145969,10.23002156
10330.761,301398619,-976294350,-168,291,1.250084281,-0.225252315,-9.947278976,10.02805107
10430.761,301398594,-976294355,-193,286,1.206958532,-0.22114338,-9.858962059,9.935028242
10530.761,301398594,-976294355,-193,286,1.211818457,-0.230297133,-9.881879807,9.958568635
10630.761,301398580,-976294371,-207,270,1.221277952,-0.222863823,-9.886095047,9.963737421
10730.761,301398580,-976294371,-207,270,1.213801265,-0.13986592,-9.88296032,9.958201678
10830.761,301398589,-976294392,-198,249,1.213208914,-0.230614409,-9.874756813,9.951677295
10930.761,301398589,-976294392,-198,249,1.247108579,-0.246512607,-9.915099144,9.996261266
11030.761,301398635,-976294450,-152,191,1.231863618,-0.149756506,-9.921738625,9.99904057
11130.761,301398635,-976294450,-152,191,1.225037456,-0.228529111,-9.908715248,9.986770258
11230.761,301398680,-976294511,-107,130,1.223877668,-0.215340257,-9.901819229,9.979492573
11330.761,301398680,-976294511,-107,130,1.27067697,-0.493955076,-9.825965881,9.920091586
11430.761,301398693,-976294535,-94,106,1.239403367,-0.204146087,-9.904439926,9.983773164
11530.761,301398693,-976294535,-94,106,1.212177157,-0.147161141,-9.92348671,9.998330778
11630.761,301398694,-976294529,-93,112,1.220985293,-0.218833759,-9.885690689,9.963211014
11730.761,301398694,-976294529,-93,112,1.235203385,-0.217549875,-9.888993263,9.968211631
11830.761,301398712,-976294532,-75,109,1.254371881,-0.23813723,-9.88651371,9.968616328
11930.761,301398712,-976294532,-75,109,1.226262808,-0.131357476,-9.913988113,9.990402173
12030.761,301398724,-976294537,-63,104,1.23048079,-0.237688065,-9.88895607,9.968050499
12130.761,301398724,-976294537,-63,104,1.222992301,-0.199091226,-9.888402939,9.965734301
12230.761,301398727,-976294525,-60,116,1.237373948,-0.209337741,-9.900467873,9.979688406
12330.761,301398727,-976294525,-60,116,1.227148652,-0.211593762,-9.887726784,9.965831961
12430.761,301398736,-976294517,-51,124,1.206030488,-0.208462417,-9.902730942,9.978078283
12530.761,301398736,-976294517,-51,124,1.249913454,-0.209212005,-9.919114113,9.999743901
12630.761,301398746,-976294511,-41,130,1.289782643,-0.201326534,-9.913098335,9.998679425
12730.761,301398746,-976294511,-41,130,1.248478174,-0.249255404,-9.887238503,9.968867098
12830.761,301398758,-976294508,-29,133,1.305701613,-0.158920452,-9.8369627,9.92451246
12930.761,301398758,-976294508,-29,133,1.271729231,-0.231368303,-9.853266716,9.937690451
13030.761,301398765,-976294506,-22,135,1.194038749,-0.172702402,-9.865515709,9.939011765
13130.761,301398765,-976294506,-22,135,1.194716692,-0.26298967,-9.880032539,9.955478618
13230.761,301398772,-976294502,-15,139,1.122929335,-0.218912974,-9.905305862,9.971157275
13330.761,301398772,-976294502,-15,139,1.156620145,-0.209668159,-9.914423943,9.983863631
13430.761,301398779,-976294501,-8,140,1.076321721,-0.232553571,-9.948046684,10.00880525
13530.761,301398779,-976294501,-8,140,1.379854441,-0.200417235,-9.839065552,9.937372705
