,gear_ratio,points,times,endurance_battery_capacity
0,3.75,"[200.60248660547248, 98.34179808997101, 75, 53.545969068202794]","[124.9728426973588, 48.38528286350741, 4.144314688658683, 4.40409394960358]",3070951.258861064
1,3.833333333,"[202.1834244385489, 100.74501664899448, 75, 55.565980813891045]","[124.70320466728026, 48.06009424465807, 4.144240563539477, 4.36734231074296]",3133489.2106368626
2,3.916666667,"[209.3457294640167, 103.04403582830867, 75, 58.22195255970068]","[123.4960674348361, 47.75306999724425, 4.13121290496768, 4.319943466216405]",3166309.0005026464
3,4.0,"[206.80034195194244, 102.42493757255706, 75, 59.79245610218276]","[123.92238171387218, 47.83536133118496, 4.139087191031147, 4.292397001235763]",3190566.6925839325
4,4.083333333,"[207.85615153065706, 104.73134766951287, 75, 62.77816319674696]","[123.74519270620203, 47.53022101698235, 4.144314688658682, 4.2409851967883725]",3205737.5637524906
5,4.166666667,"[211.1837393345292, 104.94439706344758, 75, 62.98485327102161]","[123.19004752665752, 47.50223066840522, 4.144314688658683, 4.237471678697679]",3226364.053539522
6,4.25,"[212.3426140139662, 106.0001755595729, 75, 65.48476253345241]","[122.99787875752462, 47.36400795074413, 4.144314688658683, 4.195432253010349]",3238338.3241800684
7,4.333333333,"[211.49397120984162, 106.85603852868665, 75, 65.99658317533483]","[123.13854492732214, 47.25254717237079, 4.144314688658683, 4.186927944549197]",3232913.3283582707
8,4.416666667,"[214.76417058764468, 107.9228973995291, 75, 68.19910052527973]","[122.59825653982877, 47.114340351285215, 4.144314688658683, 4.150721372080664]",3247350.722296221
9,4.5,"[217.21890191301608, 109.28226390761074, 75, 69.71899190150445]","[122.19580125701124, 46.93940746995881, 4.144314688658683, 4.126099287778021]",3287623.6442322624
10,4.583333333,"[218.40392916105074, 109.90825961535496, 75, 72.09564466795189]","[122.00245921776894, 46.85928602160058, 4.144314688658683, 4.088177901671437]",3290871.946014707
11,4.666666667,"[221.24668826871223, 112.05254964923994, 75, 73.99364854175721]","[121.54113630346878, 46.58689853092551, 4.144314688658683, 4.058390697501144]",3273298.527294184
12,4.75,"[220.2027999805613, 110.81255898467339, 75, 72.8170336651637]","[121.7101325827378, 46.74402613788783, 4.144314688658683, 4.076805079318709]",3341432.5269043185
13,4.833333333,"[219.27547381115372, 110.10743403710137, 75, 73.6744871554962]","[121.86065314884637, 46.83385093227081, 4.144314688658683, 4.063369208711697]",3325111.1607377897
14,4.916666667,"[221.60417635469122, 111.08908442100086, 75, 75.4571881341049]","[121.48336997227408, 46.70889396980093, 4.144314688658683, 4.035716704436416]",3269597.4139894117
15,5.0,"[222.96602908702653, 112.02671627719721, 75, 76.66837913423325]","[121.26381095405627, 46.59016127700857, 4.144314688658683, 4.017142954172187]",3267761.088673001
16,5.083333333,"[223.68837619659558, 112.51240434765339, 75, 77.8778640484674]","[121.14767536495779, 46.528895413552426, 4.144314688658683, 3.998765190894311]",3250744.1330049247
17,5.166666667,"[224.2189775069126, 112.7536972176064, 75, 77.96314297259156]","[121.0625093816413, 46.498518019915686, 4.144314688658683, 3.997475746968509]",3224621.9749604976
18,5.25,"[223.38741693080337, 112.46812186675439, 75, 78.0534320924599]","[121.19603514382811, 46.53447463587443, 4.144314688658683, 3.9961114533207795]",3145519.993294546
19,5.333333333,"[223.76054287493963, 112.1585801049844, 75, 77.7032429947651]","[121.13608496494064, 46.57351170616578, 4.144314688658683, 4.001408112999381]",3254760.556762722
20,5.416666667,"[223.00481300342622, 111.70118052004918, 75, 77.14079475856019]","[121.25756980112072, 46.63131553219183, 4.144314688658683, 4.009944670998888]",3063890.0689147897
21,5.5,"[223.75183914918458, 112.41041205731355, 75, 77.70118675894808]","[121.1374827177268, 46.541747597697594, 4.144314688658683, 4.001439255322326]",2996666.4217153946
22,5.583333333,"[223.42549899830948, 111.95301066302244, 75, 77.713671823515]","[121.18991377570627, 46.59947278354163, 4.144314688658683, 4.001250172648752]",2980807.86005211
23,5.666666667,"[223.60605463508728, 111.41386485984665, 75, 73.03200427104714]","[121.16089940828535, 46.66769844908565, 4.144314688658683, 4.0734282577955545]",2930308.9316491093
24,5.75,"[222.89556552718315, 111.77605617998054, 75, 76.48504672833894]","[121.27515167618263, 46.62184330868567, 4.144314688658683, 4.019943388994516]",2923209.669563643
