,gear_ratio,points,times,endurance_battery_capacity
0,3.461538462,"[237.40580979933398, 118.58236126265763, 75, 89.76293846718491]","[118.98371859849084, 45.7765869871108, 4.145036840211285, 3.8267347978910125]",3625231.697422058
1,3.5,"[237.45827560205396, 118.37361332913187, 75, 89.23886124617276]","[118.9755903903081, 45.80205498023412, 4.145036840211286, 3.834008000258519]",3577167.6389510455
2,3.583333333,"[237.89501095856133, 118.88995708249453, 75, 90.17913512864216]","[118.90797270720779, 45.73911077213341, 4.145036840211285, 3.8209784034074747]",3485941.7350866375
3,3.615384615,"[239.6693731510599, 119.24396551343138, 75, 90.30937495430385]","[118.63404517864467, 45.6960557116803, 4.130019578607683, 3.819180619061482]",3465162.094877119
4,3.692307692,"[238.11166342589317, 118.81278709223582, 75, 90.7107945695808]","[118.87445793639895, 45.74850708036289, 4.145036840211286, 3.8136501922353645]",3461971.5865446003
5,3.75,"[239.27907390442402, 119.346389948954, 75, 90.74892168788053]","[118.69419157461944, 45.683613805798075, 4.145036840211286, 3.8131257411711443]",3359275.042737874
6,3.833333333,"[237.50503221028976, 118.2521488365559, 75, 89.67353676558068]","[118.96834760873837, 45.81688712818857, 4.145036840211285, 3.827973571911602]",3290300.9299699347
7,3.916666667,"[238.32896680492888, 118.50651104817206, 75, 88.4753327608044]","[118.84086144610765, 45.7858377074736, 4.124489887357015, 3.8446539527224584]",3235052.8760267706
8,4.0,"[239.4564300108038, 120.92732785263813, 75, 83.52094909281146]","[118.6668528577395, 45.49242672873158, 4.145036840211285, 3.9151962229294477]",4041923.1059022336
9,4.076923077,"[236.28153792754853, 117.44491569138525, 75, 87.11178510910239]","[119.15816249166912, 45.9157037438877, 4.1445200630200905, 3.863813832355389]",3071817.103537707
