out_x,out_y,in_x,in_y
-749.2697513,44.83159917,-749.6115113,29.54139917
-689.9886313,25.38865917,-690.5893813,15.00324917
-665.3685613,25,-664.7873913,9.720209167
-639.5131713,61.03493917,-640.3061613,45
-573.8382913,46,-573.2437713,28.10938917
-491.8150013,68.95237917,-491.3041413,53
-406.3260513,43,-406.6989613,26.97463917
-314.2244013,77.55689917,-315.9679113,58
-291.1680613,24,-295.0377813,3.411889167
-217.1877013,53.62746917,-216.3484313,37
-148.2705513,26,-147.8736113,12.49433917
-118.0728513,53.07922917,-118.6994113,38
-90.86199125,26,-93.18578125,7.544159167
-62.51371125,28,-54.09698125,12.96959917
5.11026875,62.14743917,4.58694875,44
37.73766875,52,37.25528875,37.54694917
69.89158875,62.14743917,69.40475875,46
147.8555888,34,147.1854188,19.42832917
228.5598988,57.67696917,228.1585088,40
312.6737988,31,312.9941988,16.68267917
356.7928788,58.10060917,358.1225388,46
409.9445688,60.29890917,407.7702988,47
457.9778688,21,454.2443188,8.099519167
495.9283588,21,496.6519288,7.101829167
590.6501688,47.78550917,591.0631288,35.16708917
630.0059688,31.91591917,619.2138288,23.59797917
643.9371388,-7.512860833,627,-7.927600833
632.7498388,-41.46458083,623.0844388,-34.37039083
605.1099988,-59.27437083,603.9147288,-47.20686083
561.8079388,-56.77525083,564.5571488,-45.67695083
516.9537188,-45,516.5265188,-29.91772083
460.7849288,-60.30143083,462.1929088,-45
383.6993588,-30,384.3428288,-13.67878083
303.4186888,-63.45203083,302.3827288,-47
212.9395088,-32,213.9140588,-15.87352083
156.1041088,-53.60151083,155.4739888,-36
121.2623888,-43,122.0153288,-25.05921083
84.16718875,-53.60151083,82.92029875,-37
42.19478875,-43,42.97086875,-27.71675083
-64.84462125,-67.36002083,-65.42223125,-53
-145.5587213,-47,-144.7755213,-32.26198083
-186.1623013,-62.39649083,-187.0896813,-47
-236.5994913,-45,-235.1728213,-26.74665083
-315.5932213,-67.36002083,-315.9679113,-53
-402.2053513,-46,-401.8351113,-30.81039083
-491.3041413,-67.36002083,-491.2151413,-56.77525083
-551.9327213,-68.25358083,-552.4426913,-57.53353083
-615.6389213,-67.36002083,-615.0773313,-47.20686083
