out_x,out_y,in_x,in_y,
324.6936139,397.6961728,325.0507785,383.8024709,
397.2337387,404.9823301,397.5909033,391.1957776,
423.0924538,406.768153,423.4496183,393.4816309,
560.0650676,398.5533678,560.7079638,385.6597267,
588.4239347,388.4456104,587.5667397,373.2303996,
646.713193,398.3033526,647.0703576,378.7664504,
677.8222273,380.1951087,678.1793919,369.3730222,
706.5739755,397.6961728,706.93114,383.4095899,
737.6830098,383.1595747,738.0401743,371.3731438,
766.6847731,402.0535806,767.0776541,385.6597267,
812.2232562,391.1957776,812.5804208,377.9449719,
875.9771325,416.0901483,879.5487782,400.910654,
949.981632,413.7328621,950.3387966,400.1606084,
1022.164592,447.0563168,1022.521757,427.0908172,
1066.810164,461.7357808,1068.524554,442.5560432,
1115.348829,438.1986354,1068.524554,438.1986354,
1097.383451,417.625956,1068.524554,431.3410756,
1087.454276,410.9826949,1066.810164,410.9826949,
1103.026652,381.0523037,1061.988442,383.1595747,
1085.775603,319.1913996,1062.667055,319.1913996,
1081.025314,304.690518,1061.274113,310.1908524,
1047.809009,271.4742127,1038.344147,275.6173217,
1055.238032,225.5428486,1036.415459,225.5428486,
1050.41631,215.970838,1033.308127,219.5782002,
1017.414303,171.1824005,1004.413513,175.5398083,
998.8417456,124.7152896,988.091092,125.1081706,
1028.522122,82.06983955,1008.592338,82.7841687,
1029.843631,56.35399029,1010.449594,56.35399029,
994.1271733,29.70951314,961.4108984,41.46022759,
971.6615216,4.850858847,957.1249235,9.06540081,
965.518291,-24.68665135,955.6962652,-21.00785625,
927.4802639,-153.6230622,911.0149771,-147.4441151,
909.6220353,-173.3742631,894.4068245,-168.8739895,
918.7297319,-198.6257985,894.9068549,-197.9114693,
886.4420545,-236.0209293,861.7619825,-226.1989035,
916.8010432,-267.629994,883.6204543,-267.629994,
913.1222481,-302.8107044,884.0490518,-302.8107044,
872.0483222,-342.2059568,858.833233,-331.0981386,
809.7231042,-365.6002364,810.0802687,-349.5992635,
763.2202768,-351.5993851,775.7567533,-340.5629998,
724.0750395,-313.3470593,736.1829186,-302.310674,
633.8195519,-290.3456608,634.1767165,-273.9518069,
527.2773598,-400.8523798,527.6345243,-385.1014221,
429.5214161,-387.2444095,439.3791583,-380.172551,
434.7003024,-351.5993851,451.9156348,-352.3494307,
411.1274406,-321.6689939,430.6286263,-321.0975306,
425.6997552,-290.3456608,444.1651636,-278.880678,
353.6239443,-283.3809517,353.9811089,-267.629994,
353.9811089,-290.3456608,317.1217249,-290.3456608,
286.6198704,-385.6371689,286.977035,-372.1363481,
275.1191711,-383.1727334,281.7267157,-375.7794267,
266.9401024,-349.5992635,284.3340171,-349.0635167,
232.545154,-334.4197692,247.4746332,-322.4904724,
219.0086167,-310.5968921,229.7592704,-296.5960409,
179.434782,-311.3112213,191.3283623,-298.9890435,
163.576675,-286.8097316,179.434782,-274.6661361,
124.61002,-291.452871,124.9671846,-275.987645,
97.53694538,-297.2389371,97.89410996,-281.38083,
-39.64996715,-294.6316357,-39.29280258,-281.38083,
-64.40147207,-283.3809517,-63.61571001,-269.665832,
-85.58133125,-283.3809517,-85.93849582,-266.3442015,
-88.26006555,-283.6309669,-98.04637485,-266.3442015,
-88.76009595,-291.452871,-127.3338698,-302.310674,
-85.58133125,-321.6689939,-114.5830946,-330.4909588,
-66.75875825,-346.670514,-103.5467093,-356.2425246,
-68.58029757,-356.2425246,-96.68914948,-360.7070817,
-71.79477873,-364.3858768,-90.04588842,-364.3858768,
-78.29517396,-373.6364393,-91.33168088,-366.2788491,
