x,y,,,,,,,,,,,,,,,,,,
29.2,90.43,,,,,,,,,,,,,,,,,,
49.51,92.47,,,,,,,,,,,,,,,,,,
56.75,92.97,,,,,,,,,,,,,,,,,,
95.1,90.67,,,,,,,,,,,,,,,,,,
103.04,87.84,,,,,,,,,,,,,,,,,,
119.36,90.6,,,,,,,,,,,,,,,,,,
128.07,85.53,,,,,,,,,,,,,,,,,,
136.12,90.43,,,,,,,,,,,,,,,,,,
144.83,86.36,,,,,,,,,,,,,,,,,,
152.95,91.65,,,,,,,,,,,,,,,,,,
165.7,88.61,,,,,,,,,,,,,,,,,,
183.55,95.58,,,,,,,,,,,,,,,,,,
204.27,94.92,,,,,,,,,,,,,,,,,,
224.48,104.25,,,,,,,,,,,,,,,,,,
236.98,108.36,,,,,,,,,,,,,,,,,,
250.57,101.77,,,,,,,,,,,,,,,,,,
245.54,96.01,,,,,,,,,,,,,,,,,,
242.76,94.15,,,,,,,,,,,,,,,,,,
247.12,85.77,,,,,,,,,,,,,,,,,,
242.29,68.45,,,,,,,,,,,,,,,,,,
240.96,64.39,,,,,,,,,,,,,,,,,,
231.66,55.09,,,,,,,,,,,,,,,,,,
233.74,42.23,,,,,,,,,,,,,,,,,,
232.39,39.55,,,,,,,,,,,,,,,,,,
223.15,27.01,,,,,,,,,,,,,,,,,,
217.95,14,,,,,,,,,,,,,,,,,,
226.26,2.06,,,,,,,,,,,,,,,,,,
226.63,-5.14,,,,,,,,,,,,,,,,,,
216.63,-12.6,,,,,,,,,,,,,,,,,,
210.34,-19.56,,,,,,,,,,,,,,,,,,
208.62,-27.83,,,,,,,,,,,,,,,,,,
197.97,-63.93,,,,,,,,,,,,,,,,,,
192.97,-69.46,,,,,,,,,,,,,,,,,,
195.52,-76.53,,,,,,,,,,,,,,,,,,
186.48,-87,,,,,,,,,,,,,,,,,,
194.98,-95.85,,,,,,,,,,,,,,,,,,
193.95,-105.7,,,,,,,,,,,,,,,,,,
182.45,-116.73,,,,,,,,,,,,,,,,,,
165,-123.28,,,,,,,,,,,,,,,,,,
151.98,-119.36,,,,,,,,,,,,,,,,,,
141.02,-108.65,,,,,,,,,,,,,,,,,,
115.75,-102.21,,,,,,,,,,,,,,,,,,
85.92,-133.15,,,,,,,,,,,,,,,,,,
58.55,-129.34,,,,,,,,,,,,,,,,,,
60,-119.36,,,,,,,,,,,,,,,,,,
53.4,-110.98,,,,,,,,,,,,,,,,,,
57.48,-102.21,,,,,,,,,,,,,,,,,,
37.3,-100.26,,,,,,,,,,,,,,,,,,
37.4,-102.21,,,,,,,,,,,,,,,,,,
18.54,-128.89,,,,,,,,,,,,,,,,,,
15.32,-128.2,,,,,,,,,,,,,,,,,,
13.03,-118.8,,,,,,,,,,,,,,,,,,
3.4,-114.55,,,,,,,,,,,,,,,,,,
-0.39,-107.88,,,,,,,,,,,,,,,,,,
-11.47,-108.08,,,,,,,,,,,,,,,,,,
-15.91,-101.22,,,,,,,,,,,,,,,,,,
-26.82,-102.52,,,,,,,,,,,,,,,,,,
-34.4,-104.14,,,,,,,,,,,,,,,,,,
-72.81,-103.41,,,,,,,,,,,,,,,,,,
-79.74,-100.26,,,,,,,,,,,,,,,,,,
-85.67,-100.26,,,,,,,,,,,,,,,,,,
-86.42,-100.33,,,,,,,,,,,,,,,,,,
-86.56,-102.52,,,,,,,,,,,,,,,,,,
-85.67,-110.98,,,,,,,,,,,,,,,,,,
-80.4,-117.98,,,,,,,,,,,,,,,,,,
-80.91,-120.66,,,,,,,,,,,,,,,,,,
-81.81,-122.94,,,,,,,,,,,,,,,,,,
-83.63,-125.53,,,,,,,,,,,,,,,,,,
-88.15,-126.95,,,,,,,,,,,,,,,,,,
-89.42,-126.95,,,,,,,,,,,,,,,,,,
-91.36,-126.95,,,,,,,,,,,,,,,,,,
-106.27,-124.6,,,,,,,,,,,,,,,,,,
-110.43,-121.91,,,,,,,,,,,,,,,,,,
-115.07,-119.36,,,,,,,,,,,,,,,,,,
-120.9,-115.33,,,,,,,,,,,,,,,,,,
-117.23,-108.23,,,,,,,,,,,,,,,,,,
-116.41,-107.65,,,,,,,,,,,,,,,,,,
-117.23,-107.41,,,,,,,,,,,,,,,,,,
-124.98,-106.92,,,,,,,,,,,,,,,,,,
-124.98,-107.41,,,,,,,,,,,,,,,,,,
-128.01,-119.36,,,,,,,,,,,,,,,,,,
-130.74,-124.97,,,,,,,,,,,,,,,,,,
-138.57,-124.6,,,,,,,,,,,,,,,,,,
-156.61,-97.82,,,,,,,,,,,,,,,,,,
-167.7,-105.56,,,,,,,,,,,,,,,,,,
-178.37,-116.93,,,,,,,,,,,,,,,,,,
-208.39,-129.88,,,,,,,,,,,,,,,,,,
-230.7,-113.45,,,,,,,,,,,,,,,,,,
-253.7,-94.52,,,,,,,,,,,,,,,,,,
-272.44,-94.18,,,,,,,,,,,,,,,,,,
-272.72,-96.01,,,,,,,,,,,,,,,,,,
-275.87,-99,,,,,,,,,,,,,,,,,,
-274.12,-113.45,,,,,,,,,,,,,,,,,,
-272.44,-121.13,,,,,,,,,,,,,,,,,,
-278.6,-125.53,,,,,,,,,,,,,,,,,,
-292.17,-126.38,,,,,,,,,,,,,,,,,,
-307.84,-120.37,,,,,,,,,,,,,,,,,,
-315.84,-124.6,,,,,,,,,,,,,,,,,,
-339.43,-116.02,,,,,,,,,,,,,,,,,,
-344.14,-101.22,,,,,,,,,,,,,,,,,,
-338.82,-99,,,,,,,,,,,,,,,,,,
-340.03,-90.09,,,,,,,,,,,,,,,,,,
